question_id,user_input,response,reference,retrieved_contexts,reference_contexts,retrieved_contexts_count,reference_contexts_count,retrieved_context_ids,reference_context_ids,errors,context_precision,context_recall,response_relevancy,faithfulness,answer_accuracy,context_relevance,response_groundedness,semantic_similarity,bleu_score,rouge1,rougeL
Q_001,What does the policy mean by an accident?,"Accidental bodily injury means accidental physical bodily harm excluding illness or disease solely and directly caused by external, violent, visible and evident means which is verified and certified by a Medical Practitioner.","An Accident means sudden, unforeseen and involuntary event caused by external, visible and violent means.","[""Injury means Accidental physical bodily harm excluding Illness or disease solely and directly caused by external, violent, visible and evident means which is verified and certified by a Medical Practitioner."", ""An Accident means sudden, unforeseen and involuntary event caused by external, visible and violent means.""]","[""An Accident means sudden, unforeseen and involuntary event caused by external, visible and violent means.""]",2,1,"[""BAJHLIP23020V012223.pdf_25"", ""BAJHLIP23020V012223.pdf_2""]","[""BAJHLIP23020V012223.pdf_2""]",,0.49999999995,1.0,0.6417796556386063,1.0,0.5,1.0,1.0,0.6192895747807322,0.10939951745121487,0.3829787234042553,0.3404255319148936
Q_002,What is considered “any one illness” under this policy?,"Expenses related to the treatment of a single disease or condition listed under specified disease/procedure waiting period shall be excluded until the expiry of 24 months of continuous coverage after the date of inception of the first Global Health Care Policy. This exclusion does not apply if claims arise due to an Accident. If the disease or condition also falls under the waiting period for pre-existing diseases, the pre-existing waiting period rules will apply.",Any one Illness means continuous Period of Illness and it includes relapse within 45 days from the date of last consultation with the Hospital/Nursing Home where treatment was taken.,"[""a. Expenses related to the treatment of the listed Conditions, surgeries/treatments shall be excluded until the expiry of 24 months of continuous coverage after the date of inception of the first Global Health Care Policy with Us. This exclusion shall not be applicable for claims arising due to an Accident. b. In case of enhancement of Sum Insured the exclusion shall apply afresh to the extent of Sum Insured increase. c. If any of the specified disease/procedure falls under the waiting period specified for Pre-Existing diseases,"", ""a. Expenses related to the treatment of the listed Conditions, surgeries/treatments shall be excluded until the expiry of 24 months of continuous coverage after the date of inception of the first Global Health Care Policy with Us. This exclusion shall not be applicable for claims arising due to an Accident. b. In case of enhancement of Sum Insured the exclusion shall apply afresh to the extent of Sum Insured increase. c. If any of the specified disease/procedure falls under the waiting period specified for Pre-Existing diseases,""]","[""Any one Illness means continuous Period of Illness and it includes relapse within 45 days from the date of last consultation with the Hospital/Nursing Home where treatment was taken.""]",2,1,"[""BAJHLIP23020V012223.pdf_209"", ""BAJHLIP23020V012223.pdf_251""]","[""BAJHLIP23020V012223.pdf_3""]",,0.99999999995,0.0,0.5472102024114757,1.0,0.0,0.0,1.0,0.44672597213156096,0.04053984634069604,0.14953271028037385,0.11214953271028039
Q_003,What is a cashless facility in this insurance policy?,"The cashless hospitalization facility operates as follows:
1. Cashless treatment is available only at Network Hospitals. Pre-authorization must be obtained by intimating the insurer in writing 48 hours before planned hospitalization or immediately within 24 hours for emergencies.
2. For planned treatment, submit a request for pre-authorization via written form. Upon approval, present the authorization letter, ID card, and any specified documentation to the Network Hospital at admission.
3. The insurer directly pays the Network Hospital for covered expenses under Section AI-Inpatient Hospitalization Treatment. Original bills and treatment evidence remain with the hospital.
4. Pre-authorization does not guarantee full coverage; the insurer reviews claims and determines coverage based on policy terms.
5. In emergencies, written intimation must be given within 24 hours.
6. Coverage is up to the Sum Insured for inpatient hospitalization.",Cashless Facility means a facility extended by the Insurer to the Insured where the payments of the costs of treatment undergone by the Insured are directly made to the Network Provider by the Insurer to the extent pre-authorization is approved.,"[""Cashless Facility means a facility extended by the Insurer to the Insured where the payments, of the costs of treatment undergone by the Insured in accordance with the Policy terms and conditions, are directly made to the Network Provider by the Insurer to the extent pre-authorization is approved."", ""A. Cashless Claims Procedure: Cashless treatment is only available at Network Hospitals. In order to avail of cashless treatment, the following"", ""If the procedure above is followed, You will not be required to directly pay for the bill amount in the Network Hospital that We are liable under Section AI-Inpatient Hospitalization Treatment above and the original bills and evidence of treatment in respect of the same shall be left with the Network Hospital. Pre-authorisation does not guarantee that all costs and expenses will be covered. We reserve the right to review each claim for Medical Expenses and accordingly coverage will be determined according to the terms and conditions of this Policy. iv. In case any treatment or procedure is to be taken on an Emergency basis, You or Your representative must intimate Us in writing immediately within 24 hours of Hospitalization. B. Reimbursement Claims Procedure: If Pre-authorisation as per Cashless Claims Procedure above is denied by Us or if treatment is taken in a Hospital other than a Network Hospital or if You do not wish to avail Cashless Facility, then: i. You or someone claiming on Your behalf must inform Us in writing immediately within 48 hours of Hospitalization in case of Emergency Hospitalization and 48 hours prior to Hospitalization in case of planned Hospitalization ii."", ""Follow the steps below so We can look after the details \u2013 while You concentrate on getting better. Check Your level of cover First, check that Your plan covers the treatment You are seeking. Your Table of Benefits will confirm what is covered. However, You can always call Our Helpline if You have any queries. 24/7 International Helpline number +353 1 630 1301 Some treatments require Our pre-approval Certain benefits under this policy for International Cover would require You to seek pre-approval at least 72 hours prior to admission or availing the benefit in case of planned treatments. The pre-approval process helps Us assess each case, organize everything with the Hospital before Your arrival and make direct payment of Your Hospital bill easier, where possible. If You make a claim without obtaining Our pre-approval the following will apply: i. If the treatment received is subsequently proven to be medically unnecessary, We reserve the right to decline Your claim in accordance with the policy terms and conditions ii. If the treatment is subsequently proven to be medically necessary, we will process the claim basis on reasonable and customary expenses up to 80% of the coverage, subject to the policy terms and conditions."", ""i. For planned treatment or Hospitalization, prior to taking treatment and/or incurring Medical Expenses at a Network Hospital, You or Your representative must intimate Us 48 hours before the planned Hospitalization and request pre-authorisation by way of the written form. ii. After considering Your request and after obtaining any further information or documentation We have sought, We may, if satisfied, send You or the Network Hospital, an authorisation letter. The authorisation letter, the ID card issued to You along with this Policy and any other information or documentation that We have specified must be produced to the Network Hospital identified in the pre-authorization letter at the time of Your admission to the same. iii. If the procedure above is followed, You will not be required to directly pay for the bill amount in the Network Hospital that We are liable under Section AI-Inpatient Hospitalization Treatment above and the original bills and evidence of treatment in respect of the same shall be left with the Network Hospital. Pre-authorisation does not guarantee that all costs and expenses will be covered."", ""In-patient Hospitalization Up to Sum Insured""]","[""Cashless Facility means a facility extended by the Insurer to the Insured where the payments, of the costs of treatment undergone by the Insured in accordance with the Policy terms and conditions, are directly made to the Network Provider by the Insurer to the extent pre-authorization is approved.""]",6,1,"[""BAJHLIP23020V012223.pdf_8"", ""BAJHLIP23020V012223.pdf_367"", ""BAJHLIP23020V012223.pdf_369"", ""BAJHLIP23020V012223.pdf_381"", ""BAJHLIP23020V012223.pdf_368"", ""BAJHLIP23020V012223.pdf_130""]","[""BAJHLIP23020V012223.pdf_8""]",,0.7555555555303703,1.0,0.7071955067737183,1.0,0.25,1.0,1.0,0.7136694100961578,0.001361919386333735,0.28089887640449435,0.17977528089887643
Q_004,What does co-payment mean in this health insurance policy?,"You shall bear 20% of the admissible claim amount for consultation charges, diagnostic tests, or inpatient hospitalization expenses under the shared cost obligation clause.",A Co-Payment means a cost-sharing requirement under a health insurance Policy that provides that the Policyholder/Insured will bear a specified percentage of the admissible claim amount and it does not reduce the Sum Insured.,"[""A Co-Payment means a cost-sharing requirement under a health insurance Policy that provides that the Policyholder/Insured will bear a specified percentage of the admissible claim amount. A Co-Payment does not reduce the Sum Insured."", ""a. You shall bear 20% of Co-Payment for each and every claim payable under Section C Part B III- Dental Plan Benefits (Optional cover) and Our liability, if any, shall only be in excess of that sum. b. If opted, an aggregate Deductible as specified in the Policy Schedule will apply for expenses under Inpatient"", ""If You consult a consultant/Medical Practitioner on Outpatient basis for the Illness/ Injury contracted during the Policy Period, We will pay You Out Patient expenses up to the limits specified in the Policy Schedule for a. Medical Practitioner fees b. Specialist fees c. Diagnostic tests d. Prescription drugs""]","[""A Co-Payment means a cost-sharing requirement under a health insurance Policy that provides that the Policyholder/Insured will bear a specified percentage of the admissible claim amount. A Co-Payment does not reduce the Sum Insured.""]",3,1,"[""BAJHLIP23020V012223.pdf_11"", ""BAJHLIP23020V012223.pdf_347"", ""BAJHLIP23020V012223.pdf_174""]","[""BAJHLIP23020V012223.pdf_11""]",,0.99999999995,1.0,0.32496291222756757,0.6,0.5,1.0,0.5,0.5217585515241097,0.10499291531675065,0.3278688524590164,0.22950819672131148
Q_005,What is the definition of congenital anomaly in this policy?,"Congenital anomalies are defined as conditions present since birth that are abnormal in form, structure, or position. Coverage for congenital anomalies is not explicitly excluded for newborn babies under the policy, but pre-existing diseases diagnosed or treated within 48 months prior to the policy’s effective date are generally not covered unless declared and accepted by the insurer. Maternity, pregnancy, childbirth, and related complications are excluded from coverage.","Congenital Anomaly means a condition which is present since birth and is abnormal with reference to form, structure or position. It may be internal (not visible or accessible parts of the body) or external (visible and accessible parts of the body).","[""Congenital Anomaly means a condition which is present since birth, and which is abnormal with reference to form, structure or position. a. Internal Congenital Anomaly- Congenital Anomaly which is not in the visible and accessible parts of the body b. External Congenital Anomaly- Congenital Anomaly which is in the visible and accessible parts of the body"", ""Pre-Existing Disease means any condition, ailment or Injury or disease a. That is/are diagnosed by a physician within 48 months prior to the effective date of the Policy issued by the insurer or b. For which medical advice or treatment was recommended by, or received from, a physician within 48 months prior to the effective date of the Policy or its reinstatement."", ""New Born Baby means baby born during the Policy Period and is aged up to 90 days."", ""d. Coverage under the Policy after the expiry of 36 months for any Pre-Existing Disease is subject to the same being declared at the time of application and accepted by Insurer."", ""Cover is not provided for curative or follow-up non-Emergency treatment, even if You are deemed unable to travel to a country within Your geographical area of cover. Nor does it extend to charges relating to maternity, pregnancy, childbirth or any complications of pregnancy or childbirth. This cover is subject to the Sum Insured, sub-limits, terms, conditions and definitions, exclusions contained or""]","[""Congenital Anomaly means a condition which is present since birth, and which is abnormal with reference to form, structure or position. a. Internal Congenital Anomaly- Congenital Anomaly which is not in the visible and accessible parts of the body b. External Congenital Anomaly- Congenital Anomaly which is in the visible and accessible parts of the body""]",5,1,"[""BAJHLIP23020V012223.pdf_10"", ""BAJHLIP23020V012223.pdf_43"", ""BAJHLIP23020V012223.pdf_38"", ""BAJHLIP23020V012223.pdf_208"", ""BAJHLIP23020V012223.pdf_161""]","[""BAJHLIP23020V012223.pdf_10""]",,0.9999999999,0.5,0.8244112787644555,0.8333333333333334,0.5,1.0,1.0,0.7335091979522563,0.13704984223580438,0.3454545454545454,0.2909090909090909
Q_006,What qualifies as a day care centre according to the policy?,"A Day Care Centre means any institution established for Day Care Treatment of Illness and/or injuries or a medical set-up with a Hospital and which has been registered with the local authorities, wherever applicable, and is under supervision of a registered and qualified Medical Practitioner. It must comply with the following minimum criteria: has qualified nursing staff under its employment, has qualified Medical Practitioner(s) in charge, has a fully equipped operation theatre of its own where surgical procedures are carried out, and maintains daily records of patients accessible to the Insurance Company’s authorized personnel.","A Day Care Centre means an institution established for Day Care Treatment of illness or injuries or a medical set-up with a hospital which is registered with local authorities, under supervision of a qualified Medical Practitioner, has qualified nursing staff, its own fully equipped operation theatre for surgical procedures and maintains daily patient records accessible to the insurer’s authorized personnel.","[""A Day Care Centre means any institution established for Day Care Treatment of Illness and / or injuries or a medical set -up with a Hospital and which has been registered with the local authorities, wherever applicable, and is under supervision of a registered and qualified Medical Practitioner AND must comply with all minimum criterion as under:- i. has qualified nursing staff under its employment ii. has qualified Medical Practitioner (s) in charge iii. has a fully equipped operation theatre of its own where surgical procedures are carried out iv. maintains daily records of patients and will make these accessible to the Insurance Company\u2019s authorized personnel."", ""A Hospital means any institution established for Inpatient care and Day Care Treatment of Illness and/or injuries and which has been registered as a Hospital with the local authorities under the Clinical Establishments (Registration and Regulation) Act, 2010 OR under the enactments specified under the Schedule of Section 56(1)""]","[""A Day Care Centre means any institution established for Day Care Treatment of Illness and / or injuries or a medical set -up with a Hospital and which has been registered with the local authorities, wherever applicable, and is under supervision of a registered and qualified Medical Practitioner AND must comply with all minimum criterion as under:- i. has qualified nursing staff under its employment ii. has qualified Medical Practitioner (s) in charge iii. has a fully equipped operation theatre of its own where surgical procedures are carried out iv. maintains daily records of patients and will make these accessible to the Insurance Company\u2019s authorized personnel.""]",2,1,"[""BAJHLIP23020V012223.pdf_13"", ""BAJHLIP23020V012223.pdf_20""]","[""BAJHLIP23020V012223.pdf_13""]",,0.9999999999,1.0,0.7769051553734597,1.0,0.75,1.0,1.0,0.96558763324444,0.33000749003140506,0.75,0.7124999999999999
Q_007,How does the policy define emergency care?,"Emergency treatment coverage applies to treatment commencing within 24 hours of an emergency event, defined as management for an illness or injury causing sudden, unexpected symptoms requiring immediate care by a medical practitioner to prevent death or serious long-term impairment. The emergency condition must be certified by the medical practitioner, and claims are payable only if accepted under ""In-patient Hospitalization Treatment"" or ""Day Care Procedures."" You must inform the insurer in writing within 48 hours of hospitalization and follow the medical practitioner’s advice. For treatment outside the area of cover, coverage is provided for up to six weeks per trip, limited to the maximum benefit amount or sum insured, with treatment starting within 24 hours of the emergency event. Documentation requirements include certification of a life-threatening condition by a medical practitioner and adherence to claim submission timelines.",Emergency care means management for an illness or injury with symptoms that occur suddenly and unexpectedly and requires immediate care by a Medical Practitioner to prevent death or serious long term impairment of the insured person’s health.,"[""Emergency Treatment shall be accordingly taken/interpreted as per definition of Emergency Care read with this definition. Provided however only treatment commencing within 24 hours of the Emergency event will be covered."", ""Emergency care means management for an Illness or Injury which results in symptoms which occur suddenly and unexpectedly, and requires immediate care by a Medical Practitioner to prevent death or serious long term impairment of the Insured person\u2019s health."", ""Emergency treatment outside area of cover is treatment for medical emergencies which occur during business or holiday trips outside Your area of cover. Cover is provided for up to six weeks per trip within the maximum benefit amount. It includes treatment required due to an Accident or the sudden beginning or worsening of a severe Illness which presents an immediate threat to Your health. Treatment by a Doctor must start within 24 hours of the Emergency event. Cover is not provided for curative or follow-up non-Emergency treatment, even if You are deemed unable to travel to a country within Your geographical area of cover. Nor does it extend to charges relating to maternity, pregnancy, childbirth or any complications of pregnancy or childbirth. You must tell Us if You are going to be outside Your area of cover for more than six weeks."", ""i. Such life threatening Emergency condition is certified by the Medical Practitioner, and ii. We have accepted Your Claim under \""In-patient Hospitalization Treatment\"" or \""Day Care Procedures\"""", ""You or someone claiming on Your behalf must inform Us in writing immediately within 48 hours of Hospitalization in case of Emergency Hospitalization and 48 hours prior to Hospitalization in case of planned Hospitalization ii. You must immediately consult a Medical Practitioner and follow the advice and treatment that he recommends. iii. You must take reasonable steps or measures to minimize the quantum of any claim that may be made under this"", ""12. Emergency treatment outside area of cover (Applicable to Imperial Plus Plan only if \u201cExcluding USA\u201d cover is opted) We will pay the Customary and Reasonable expenses, up to the limit specified in the Policy Schedule, incurred for treatment of medical emergencies which occur during business or holiday trips outside Your area of cover. Cover is provided for up to six weeks per trip within the Sum Insured limit. It includes treatment required due to an Accident or the sudden beginning or worsening of a severe Illness which presents an immediate threat to Your health. Treatment by a Doctor must start within 24 hours of the Emergency event.""]","[""Emergency care means management for an Illness or Injury which results in symptoms which occur suddenly and unexpectedly, and requires immediate care by a Medical Practitioner to prevent death or serious long term impairment of the Insured person\u2019s health.""]",6,1,"[""BAJHLIP23020V012223.pdf_66"", ""BAJHLIP23020V012223.pdf_18"", ""BAJHLIP23020V012223.pdf_69"", ""BAJHLIP23020V012223.pdf_143"", ""BAJHLIP23020V012223.pdf_370"", ""BAJHLIP23020V012223.pdf_160""]","[""BAJHLIP23020V012223.pdf_18""]",,0.555555555537037,1.0,0.7311525553660098,1.0,0.5,1.0,1.0,0.6884895748273185,0.26019126665731623,0.34636871508379885,0.2905027932960894
Q_008,What is hospitalization according to the policy terms?,Inpatient care means treatment for which the Insured has to stay in a Hospital for more than 24 hours for a covered event.,Hospitalization means admission in a Hospital for a minimum period of 24 consecutive in-patient care hours except for specified procedures or treatments where admission could be for less than 24 consecutive hours.,"[""Inpatient care means treatment for which the Insured has to stay in a Hospital for more than 24 hours for a covered event."", ""Hospitalization means admission in a Hospital for a minimum period of 24 consecutive In-patient Care hours except for specified procedures/ treatments, where such admission could be for a period of less than 24 consecutive hours.""]","[""Hospitalization means admission in a Hospital for a minimum period of 24 consecutive In-patient Care hours except for specified procedures/ treatments, where such admission could be for a period of less than 24 consecutive hours.""]",2,1,"[""BAJHLIP23020V012223.pdf_26"", ""BAJHLIP23020V012223.pdf_22""]","[""BAJHLIP23020V012223.pdf_22""]",,0.49999999995,1.0,0.5742038420613933,1.0,0.5,1.0,1.0,0.7526935244566726,0.10327141889545237,0.4642857142857143,0.28571428571428575
Q_009,How does the policy define an injury?,"Injury means accidental physical bodily harm excluding illness or disease solely and directly caused by external, violent, visible and evident means which is verified and certified by a Medical Practitioner.","Injury means accidental physical bodily harm excluding illness or disease solely and directly caused by external, violent, visible and evident means which is verified and certified by a Medical Practitioner.","[""Injury means Accidental physical bodily harm excluding Illness or disease solely and directly caused by external, violent, visible and evident means which is verified and certified by a Medical Practitioner.""]","[""Injury means Accidental physical bodily harm excluding Illness or disease solely and directly caused by external, violent, visible and evident means which is verified and certified by a Medical Practitioner.""]",1,1,"[""BAJHLIP23020V012223.pdf_25""]","[""BAJHLIP23020V012223.pdf_25""]",,0.9999999999,1.0,0.7068925241174945,1.0,1.0,1.0,1.0,0.9999996276260344,1.0000000000000004,1.0,1.0
Q_010,What is meant by a new born baby under this policy?,A newborn infant is eligible for coverage under the newborn child addition benefit or maternity cover extension if the baby is born during the Policy Period and is aged up to 90 days.,New Born Baby means a baby born during the Policy Period and aged up to 90 days.,"[""New Born Baby means baby born during the Policy Period and is aged up to 90 days.""]","[""New Born Baby means baby born during the Policy Period and is aged up to 90 days.""]",1,1,"[""BAJHLIP23020V012223.pdf_38""]","[""BAJHLIP23020V012223.pdf_38""]",,0.9999999999,1.0,0.6381846767831578,0.5,1.0,1.0,1.0,0.7770985706611293,0.273633972348639,0.5199999999999999,0.5199999999999999
